Insee.Com;Nom.Com;POPULATION;densitePopCommune
97409;SAINT-ANDRE;56156;10.3456153279293
97615;PAMANDZI;9892;22.6880733944954
97415;SAINT-PAUL;104332;4.33794852604881
27371;LIVET-SUR-AUTHOU;147;0.370277078085642
65097;BONREPOS;188;0.208425720620843
55360;MOUILLY;107;0.0958781362007168
64101;BAUDREIX;547;2.735
60283;GOUY-LES-GROSEILLERS;31;0.103678929765886
38479;SEMONS;364;0.343720491029273
50509;SAINTE-MARIE-DU-MONT;735;0.265726681127983
66214;TRESSERRE;968;0.865831842576029
38418;SAINTE-MARIE-DU-MONT;238;0.0997485331098072
16035;BEAULIEU-SUR-SONNETTE;253;0.247311827956989
45288;SAINT-LOUP-DES-VIGNES;421;0.452688172043011
9324;VARILHES;3293;2.81452991452991
64081;AUSSURUCQ;252;0.0537313432835821
16317;SAINT-FRAIGNE;458;0.142679127725857
1259;MONTCET;659;1.00457317073171
59383;MARLY;11335;14.0807453416149
25006;ADAM-LES-PASSAVANT;99;0.10410094637224
57566;REDING;2424;2.06473594548552
84086;OPPEDE;1329;0.545342634386541
51041;BAUDEMENT;117;0.136363636363636
61181;GACE;1966;3.01071975497703
68098;FRIESEN;624;0.742857142857143
54524;THUMEREVILLE;91;0.113607990012484
17359;SAINT-MARD;1173;0.560171919770774
50305;LE MESNIL-AU-VAL;693;0.510309278350515
51565;THAAS;106;0.101338432122371
59271;GRANDE-SYNTHE;21364;10.134724857685
61180;FRESNAY-LE-SAMSON;110;0.162481536189069
4031;BRAS-D'ASSE;574;0.218666666666667
71165;CUSSY-EN-MORVAN;454;0.129603197259492
52432;ROLAMPONT;1546;0.313590263691684
31439;PRESERVILLE;714;0.585245901639344
64216;ESPOEY;1082;0.798523985239852
27099;LE BOULAY-MORIN;740;1.33815551537071
70423;PREIGNEY;113;0.0922448979591837
32099;CAZAUX-VILLECOMTAL;84;0.207407407407407
74117;ETERCY;754;1.69438202247191
42198;SAINT-ALBAN-LES-EAUX;944;1.19796954314721
61336;POUVRAI;113;0.166421207658321
16253;PAIZAY-NAUDOUIN-EMBOURIE;384;0.149474503697937
67550;WOERTH;1753;2.66818873668189
56004;ARZAL;1567;0.616686343959071
57512;NOUILLY;588;2.33333333333333
76077;BENESVILLE;193;0.352833638025594
37135;LOUESTAULT;387;0.234545454545455
41003;AREINES;595;1.22427983539095
65414;SEGALAS;89;0.146381578947368
65451;TREBONS;714;0.689189189189189
76724;VATIERVILLE;126;0.278761061946903
82037;CAUSSADE;6753;1.469640914037
42273;SAINT-PIERRE-LA-NOAILLE;377;0.504010695187166
85268;SAINT-REVEREND;1398;0.888182973316391
31457;ROQUEFORT-SUR-GARONNE;794;0.57703488372093
63466;VODABLE;202;0.174137931034483
33008;ARBIS;279;0.318857142857143
5054;LA FARE-EN-CHAMPSAUR;473;0.460564751703992
62549;MARCONNE;1123;2.66113744075829
68152;ILLFURTH;2560;2.81318681318681
14406;MARTRAGNY;372;0.984126984126984
46264;SAINT-DENIS-CATUS;186;0.171903881700555
38268;LE MOUTARET;240;0.458891013384321
62638;OISY-LE-VERGER;1257;1.10263157894737
85273;SAINT-URBAIN;1754;1.06110102843315
57163;DABO;2605;0.534578288528627
60152;CHOISY-LA-VICTOIRE;220;0.217176702862784
30068;CARDET;844;1.02427184466019
37142;MAILLE;594;0.38052530429212
70438;RAY-SUR-SAONE;207;0.258104738154613
80054;BARLEUX;239;0.316556291390728
53108;LA GRAVELLE;522;0.841935483870968
30049;BOURDIC;398;0.545953360768176
81063;CASTELNAU-DE-LEVIS;1561;0.730121608980355
80746;TALMAS;1057;0.550807712350182
34335;VILLEMAGNE-L'ARGENTIERE;448;0.562107904642409
12056;BARAQUEVILLE;3132;0.925258493353028
51441;PONTHION;115;0.159944367176634
1123;CORMORANCHE-SUR-SAONE;1070;1.07429718875502
10081;LA CHAPELLE-SAINT-LUC;12634;12.0438512869399
33414;SAINT-GERMAIN-DE-LA-RIVIERE;392;1
67272;LOCHWILLER;441;0.962882096069869
2736;TARTIERS;178;0.20158550396376
34103;FONTES;961;0.542019176536943
18056;CHASSY;252;0.141176470588235
59079;BEUVRAGES;6716;22.2384105960265
6162;LA BRIGUE;719;0.0768819503849444
7069;COLOMBIER-LE-VIEUX;667;0.423492063492063
70559;VILLEPAROIS;215;0.731292517006803
93046;LIVRY-GARGAN;43099;58.5584239130435
29197;PLOUHINEC;4106;1.47804175665947
73221;SAINT-ALBAN-DES-VILLARDS;96;0.0399500624219725
67304;MORSCHWILLER;598;1.29437229437229
22293;SAINT-GILLES-LES-BOIS;412;0.428720083246618
62773;SAMER;3983;2.3595971563981
88057;LE BEULAY;118;0.491666666666667
31392;MOURVILLES-BASSES;73;0.152400835073069
32463;VIELLA;533;0.239442946990117
77280;MARY-SUR-MARNE;1211;5.35840707964602
2097;BONCOURT;259;0.194007490636704
69237;SAINT-SORLIN;580;1.2262156448203
60407;MONCEAUX-L'ABBAYE;220;0.482456140350877
36147;ORVILLE;131;0.140708915145005
38536;VERNIOZ;1223;1.08904719501336
76298;GANZEVILLE;502;1.26130653266332
6113;SAINTE-AGNES;1158;1.21511017838405
71285;MARTIGNY-LE-COMTE;425;0.114709851551957
45158;GONDREVILLE;354;0.438661710037175
18031;BLET;627;0.2032414910859
29246;SAINT-ELOY;222;0.177033492822967
27542;SAINT-GEORGES-DU-VIEVRE;804;0.779069767441861
55204;GENICOURT-SUR-MEUSE;262;0.326683291770574
54039;BACCARAT;4440;3.24798829553767
30105;DOURBIES;163;0.0266819446717957
91630;LE VAL-SAINT-GERMAIN;1427;1.12806324110672
8283;MAZERNY;124;0.098256735340729
21210;CREANCEY;540;0.321620011911852
21093;BOUIX;156;0.1
38400;SAINT-JEAN-DE-MOIRANS;3329;5.14528593508501
52223;GILLEY;72;0.0685061845861085
74150;LOISIN;1458;1.86683738796415
47169;MOIRAX;1163;0.708714198659354
21470;ORIGNY;49;0.0940499040307102
31084;BOUSSENS;1116;2.54214123006834
22256;QUEMPER-GUEZENNEC;1134;0.484615384615385
89012;ANNOUX;87;0.0981941309255079
49114;COURLEON;158;0.113180515759312
95058;BERNES-SUR-OISE;2600;4.69314079422383
9081;LE CARLARET;268;0.281808622502629
33220;LAMARQUE;1253;1.38913525498891
45030;BEAUNE-LA-ROLANDE;1986;0.965483714146816
28098;CHERISY;1851;1.49394673123487
2474;MENNESSIS;424;0.815384615384615
11097;CONILHAC-DE-LA-MONTAGNE;66;0.142241379310345
32025;AYZIEU;159;0.115384615384615
21272;FLEE;167;0.142006802721088
56123;MALANSAC;2140;0.588558855885589
74202;NONGLARD;536;1.29156626506024
54005;AFFRACOURT;108;0.191829484902309
12164;MUR-DE-BARREZ;791;0.389847215377033
22290;SAINT-GELVEN;319;0.177320733740967
76120;BOSC-BORDEL;426;0.35559265442404
25171;COURCELLES;99;0.273480662983425
45305;SEICHEBRIERES;195;0.131578947368421
62137;BLANGERVAL-BLANGERMONT;107;0.228632478632479
8065;BIEVRES;55;0.0760719225449516
72043;BOURG-LE-ROI;314;8.48648648648649
52269;LANGRES;7877;3.39965472593871
29066;GUENGAT;1713;0.748688811188811
55102;CHARNY-SUR-MEUSE;552;0.437400950871632
60361;LIANCOURT-SAINT-PIERRE;561;0.441037735849057
18257;SURY-PRES-LERE;591;0.328881469115192
50208;GONFREVILLE;155;0.168845315904139
21280;FONTANGY;159;0.089527027027027
64366;MASCARAAS-HARON;129;0.147597254004577
46222;POMAREDE;166;0.235127478753541
31542;SEILHAN;201;0.425847457627119
6106;ROQUESTERON;567;0.898573692551506
65385;SAINT-ARROMAN;97;0.222988505747126
2224;COURCELLES-SUR-VESLE;365;0.402425578831312
63276;PESCHADOIRES;2099;1.00623202301055
61420;SAINTE-MARIE-LA-ROBERT;79;0.142599277978339
72154;LA FLECHE;14992;1.89460381650449
60288;GREMEVILLERS;443;0.642960812772134
25527;SAINT-VIT;4830;2.93438639125152
80794;VILLECOURT;59;0.274418604651163
71388;SAINT-AUBIN-EN-CHAROLLAIS;489;0.247594936708861
4093;GIGORS;59;0.0428779069767442
46093;ESPAGNAC-SAINTE-EULALIE;95;0.0968399592252803
88288;MARONCOURT;12;0.052863436123348
29144;LA MARTYRE;766;0.417438692098093
65402;SAMURAN;26;0.102362204724409
58241;SAINT-GERMAIN-CHASSENAY;346;0.143330571665286
60698;WACQUEMOULIN;300;0.451807228915663
77155;DAMPMART;3195;5.38785834738617
25553;SOYE;386;0.274537695590327
62622;NORT-LEULINGHEM;198;0.5625
35218;LE PETIT-FOUGERAY;899;0.988998899889989
49113;COURCHAMPS;474;0.678111587982833
39425;LES PLANCHES-PRES-ARBOIS;101;0.737226277372263
18221;SAINT-LOUP-DES-CHAUMES;306;0.162765957446809
4054;CHATEAUREDON;75;0.07029053420806
65364;PINTAC;27;0.173076923076923
24399;SAINT-ETIENNE-DE-PUYCORBIER;116;0.085672082717873
54586;VITERNE;730;0.3125
86014;AVAILLES-EN-CHATELLERAULT;1710;1.10322580645161
22030;CAOUENNEC-LANVEZEAC;853;1.17980636237898
62301;EQUIRRE;63;0.147887323943662
3197;NEUILLY-LE-REAL;1458;0.30785472972973
90080;PHAFFANS;395;1.21538461538462
88192;GELVECOURT-ET-ADOMPT;100;0.263852242744063
52141;CONDES;312;0.609375
89003;AILLANT-SUR-THOLON;1399;0.767416346681295
11034;BELVEZE-DU-RAZES;877;1.91067538126362
35104;EPINIAC;1401;0.572537801389456
3077;CHIRAT-L'EGLISE;129;0.0701468189233279
24396;SAINT-CYPRIEN;1618;0.727191011235955
74301;VILLARD;757;1.02435723951286
40040;BEYLONGUE;388;0.103081827842721
51031;BACONNES;290;0.136727958510137
80057;BAYENCOURT;81;0.435483870967742
24389;SAINT-CIRQ;131;0.20859872611465
88160;EPINAL;32188;5.42159339733872
5148;SAINT-LAURENT-DU-CROS;499;0.400160384923817
73069;CHAMOUX-SUR-GELON;898;0.845574387947269
2549;NEUVILLE-SAINT-AMAND;872;1.07654320987654
15108;VAL D'ARCOMIE;999;0.350157728706625
86280;VELLECHES;403;0.206032719836401
70074;BLONDEFONTAINE;269;0.201498127340824
45281;SAINT-HILAIRE-LES-ANDRESIS;935;0.36353032659409
39234;FOULENAY;81;0.192857142857143
39546;VAUDREY;394;0.218645948945616
95203;EAUBONNE;24606;56.0501138952164
25204;DOUBS;2728;3.0548712206047
42105;GREZIEUX-LE-FROMENTAL;163;0.156429942418426
9104;DALOU;745;0.958815958815959
81019;ASSAC;150;0.0986842105263158
11169;GREFFEIL;84;0.0589887640449438
17109;CLAVETTE;1306;2.06973058637084
88174;FOMEREY;150;0.293542074363992
21593;SAVILLY;79;0.0947242206235012
10233;MERY-SUR-SEINE;1464;1.17495987158908
80120;BOUILLANCOURT-EN-SERY;570;0.350338045482483
31416;PEYSSIES;544;0.848673946957878
89079;CHAMVRES;675;1.20535714285714
62745;SAINT-DENOEUX;152;0.373464373464373
80572;MORLANCOURT;368;0.308466051969824
95566;SAINT-MARTIN-DU-TERTRE;2688;2.28960817717206
70338;MELINCOURT;241;0.161744966442953
49041;BRAIN-SUR-ALLONNES;1987;0.592603638532657
10424;VILLERET;66;0.201834862385321
35351;LE VERGER;1464;2.06197183098592
40216;OZOURT;205;0.493975903614458
24122;CLADECH;93;0.166666666666667
70291;JONVELLE;137;0.1096
46191;MERCUES;1020;1.41470180305132
49304;SAINT-MARTIN-DE-LA-PLACE;1152;0.776280323450135
